 Direct beam 1:  4454
 Reflect beam 1:  4566
 Instrument background 1:  
 Theta 1: san
 Direct beam 2:  4570
 Reflect beam 2:  4567
 Instrument background 2:  
 Theta 2: san
 Direct beam 3:  4572
 Reflect beam 3:  4569
 Instrument background 3:  
 Theta 3: san
 Water:  
 Foreground 1:        5
 Foreground 2:        9
 Foreground 3:        9
 Background Low 1 - Offset :        5
 Background Low 1 - Width  :        9
 Background Low 2 - Offset :        5
 Background Low 2 - Width  :        5
 Background Low 3 - Offset :        5
 Background Low 3 - Width  :        5
 Background High 1 - Offset :        5
 Background High 1 - Width  :        9
 Background High 2 - Offset :        5
 Background High 2 - Width  :        5
 Background High 3 - Offset :        5
 Background High 3 - Width  :        5
 Lambda Range 1:       3.00000-      25.0000
 Lambda Range 2:       2.20000-      25.0000
 Lambda Range 3:       2.20000-      25.0000
 Useful Pixel Range 1:           30-         255
 Useful Pixel Range 2:           30-         255
 Useful Pixel Range 3:           30-         255
 Search Pixel Range 1:          160-         254
 Search Pixel Range 2:          160-         254
 Search Pixel Range 3:          160-         254
 Search Time Range 1:            0-         999
 Search Time Range 2:            0-         999
 Search Time Range 3:            0-         999

	q	   refl		refl err	q res
    0.0122656      0.650284      0.184890   0.000158949
    0.0122810       1.43876      0.702845   0.000159158
    0.0122960      0.910137     0.0303343   0.000169586
    0.0122964      0.679259      0.209743   0.000159368
    0.0123118      0.810427      0.272102   0.000159578
    0.0123270      0.871069     0.0289531   0.000170056
    0.0123273       1.01866      0.365892   0.000159789
    0.0123428      0.923262      0.297109   0.000160000
    0.0123582      0.874847     0.0286508   0.000170528
    0.0123584      0.878476      0.294541   0.000160212
    0.0123740       1.11155      0.419149   0.000160424
    0.0123895      0.950945     0.0310534   0.000171003
    0.0123896      0.850348      0.280108   0.000160637
    0.0124053       2.39874       1.32730   0.000160850
    0.0124210       2.78353       1.39997   0.000161064
    0.0124210      0.879380     0.0286703   0.000171481
    0.0124367      0.934538      0.286681   0.000161279
    0.0124525       1.01720      0.334211   0.000161494
    0.0124526      0.923570     0.0304067   0.000171961
    0.0124683      0.776967      0.204805   0.000161710
    0.0124842      0.587798      0.135065   0.000161926
    0.0124844      0.877413     0.0287204   0.000172444
    0.0125001      0.954456      0.267154   0.000162143
    0.0125161       1.45168      0.489343   0.000162361
    0.0125163      0.912219     0.0292311   0.000172930
    0.0125320      0.714708      0.171341   0.000162579
    0.0125481      0.722190      0.178074   0.000162798
    0.0125485      0.849517     0.0274512   0.000173418
    0.0125642      0.829756      0.205176   0.000163017
    0.0125803       1.20092      0.380898   0.000163237
    0.0125807      0.928734     0.0291897   0.000173909
    0.0125964       1.21394      0.355138   0.000163457
    0.0126126      0.943390      0.239921   0.000163678
    0.0126132      0.898197     0.0281726   0.000174403
    0.0126289      0.782884      0.185983   0.000163900
    0.0126451      0.858569      0.206204   0.000164122
    0.0126458      0.872475     0.0275082   0.000174900
    0.0126615       1.15379      0.324541   0.000164345
    0.0126778      0.854895      0.199867   0.000164569
    0.0126786      0.838432     0.0262734   0.000175399
    0.0126942       1.21675      0.339419   0.000164793
    0.0127107      0.978592      0.247242   0.000165017
    0.0127116      0.874305     0.0270710   0.000175902
    0.0127272      0.757586      0.161369   0.000165243
    0.0127437       1.09740      0.292661   0.000165468
    0.0127447      0.853143     0.0265314   0.000176407
    0.0127603      0.795159      0.165623   0.000165695
    0.0127769      0.933688      0.207293   0.000165922
